name,code,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,Feels Like Jan,Feb Feels,Mar Feels,Apr Feels,May Feels,Jun Feels,Jul Feels,Aug Feels,Sep Feels,Oct Feels,Nov Feels,Dec Feels
Finland,FIN,-8.61,-9.12,-4.69,1.54,7.7,13.37,16.37,14.17,9,3.1,-2.35,-6.67,88.79,86.6,78.98,71.06,66.34,67.37,72.62,77.15,82.68,88.42,91.14,89.92,16.6907,15.458,17.3734,20.9898,25.5922,31.6021,36.3346,35.6295,32.2844,28.2786,23.7262,19.0036
Mayotte,MYT,27.06,27.12,27.29,27.37,26.73,25.57,24.68,24.37,24.69,25.44,26.28,26.85,81.51,81.35,80.84,78.78,75.78,73.73,74.05,75.5,77.41,78.71,79.86,81.02,49.9583,49.9655,49.9672,49.3674,47.7374,45.9009,45.1165,45.285,46.2353,47.4143,48.6338,49.5866
French Guiana,GUF,25.02,25.02,25.43,25.58,25.46,25.29,25.4,26.15,27.01,27.27,26.78,25.8,85.86,84.94,82.97,85.1,87.67,87.18,84.74,79.84,72.9,72.11,76.5,82.78,49.3538,49.0502,48.8101,49.663,50.3911,50.0594,49.3642,48.4972,47.067,47.0663,48.025,49.1174
Reunion,REU,23.25,23.48,23.04,22.14,20.36,18.65,17.74,17.71,18.4,19.46,20.96,22.41,83.47,84,83.23,82.43,81.66,79.89,79.6,78.27,78.33,77.98,79.37,81.56,46.7951,47.2,46.5059,45.3419,43.3078,41.0137,40.008,39.5391,40.2489,41.1934,43.1521,45.3248
Martinique,MTQ,24.92,24.77,25.02,25.62,26.4,26.66,26.63,26.81,27,26.71,26.18,25.54,78.3,75.89,75.73,77.58,78.74,80.04,81.64,82.53,82.02,82.64,82.35,79.69,46.759,45.8137,46.0109,47.2214,48.3842,49.0732,49.5712,50.0449,50.0666,49.9812,49.3555,47.8377
Guadeloupe,GLP,24.77,24.53,24.72,25.32,26.16,26.65,26.73,26.95,27.06,26.74,26.2,25.42,78.52,76.91,76.59,78.39,80.05,80.58,81.58,82.21,81.87,82.2,81.04,79.32,46.6816,45.9103,45.9947,47.1887,48.5765,49.2414,49.6514,50.0793,50.0771,49.866,48.9432,47.5956
France,FRA,3.94,4.56,7.45,10.34,14.05,17.55,19.32,19.19,15.83,12.47,7.34,4.27,83.75,78.89,73.07,71.26,72.27,69.89,68.86,70.1,74.17,80.74,84.37,84.55,27.5775,26.5937,27.5631,29.8558,33.8991,36.6137,38.0438,38.323,36.3061,35.1142,31.1821,28.1715
French Polynesia (Fr.),PYF,26.07,26.29,26.54,26.5,26.09,25.51,24.98,24.69,24.7,25.01,25.53,25.88,81.56,81.75,81.56,80.98,79.49,78.02,77.37,76.56,78.32,79.54,80.49,81.06,48.9848,49.2675,49.4548,49.2234,48.3217,47.2566,46.5121,45.9548,46.5456,47.2582,48.0917,48.6298
French Southern and Antarctic Lands (Fr.),ATF,5.51,5.98,5.61,4.57,2.79,1.79,1.29,1.04,1.18,1.88,2.88,4.42,82.91,83.3,83.76,84.36,83.35,83.98,83.35,82.65,82.39,82.15,82.47,82.73,28.8703,29.469,29.2508,28.4088,26.2955,25.5034,24.7955,24.3145,24.3687,24.9895,26.0951,27.7209
Gabon,GAB,24.94,25.26,25.38,25.32,25.01,23.92,23.18,23.47,24.12,24.36,24.43,24.59,83.85,83.67,84.52,85.33,85.66,84.05,81.41,80.2,82.53,85.52,86.63,85.62,48.6105,48.8711,49.2716,49.4789,49.2778,47.6565,46.0453,45.936,47.3549,48.5816,49.0179,48.8446
Georgia,GEO,-3.24,-2.07,1.67,6.89,12,16.07,18.99,19.23,14.7,9.57,3.32,-1.34,76.17,74.83,74.07,73.88,74.87,74.55,73.6,71.79,74.69,77.11,75.78,76.04,17.8961,18.6239,22.1131,27.2704,32.7071,36.6715,39.278,38.9207,35.3477,31.0163,24.3274,19.7532
Germany,DEU,0.5,1.65,4.5,9.1,13.23,16.22,18.2,17.87,13.95,9.7,4.82,1.22,86.27,82.33,76.48,69.87,70.63,70.93,71.33,72.2,78.23,83.59,87.84,87.94,24.9691,24.8189,25.7384,28.1571,32.5379,35.6269,37.7389,37.696,35.7659,33.2847,29.8072,26.2402
Ghana,GHA,27.38,29.09,29.85,29.21,28.21,26.68,25.64,25.2,25.61,26.51,27.34,27.11,48.74,50.2,59.16,69.27,74.65,79.63,81.96,83.73,84.23,80.95,69.53,57.17,39.4642,41.656,45.3728,48.0691,48.8445,48.9579,48.6868,48.8309,49.4059,49.2235,46.2849,41.9761
Gibraltar (U.K.),GIB,13.38,13.45,14.51,15.72,17.71,20.47,22.48,23.09,21.39,19.22,16.05,14.16,76.69,76.18,76.73,76.17,76.26,76.24,75.51,77.42,80.31,81.48,77.33,77.69,34.6877,34.5894,35.8309,36.8561,38.8758,41.6292,43.3983,44.6386,43.8923,42.1084,37.5689,35.7977
Greece,GRC,5.97,6.78,9.2,12.79,17.74,22.14,24.57,24.44,20.23,15.74,11.26,7.3,78.02,74.81,71.35,69.73,67.31,62.41,58.99,60.42,66.48,72.42,77.61,79.9,27.7166,27.4673,28.7455,31.8009,35.9523,38.7353,40.0367,40.3786,38.1684,35.6386,32.8713,29.667
Greenland,GRL,-26.97,-27.73,-27.15,-21.13,-13.5,-6.57,-4.25,-6.66,-13.05,-20.21,-23.73,-25.87,68.35,68.06,68.03,70.35,73.9,77.11,79.18,79.38,75.67,71.07,69.76,68.82,-8.4145,-9.2702,-8.7001,-1.9145,6.887,14.8763,17.8794,15.5354,7.9211,-0.7569,-4.7092,-7.1594
Grenada,GRD,25.74,25.59,25.74,26.23,26.77,26.74,26.67,27.03,27.48,27.3,26.78,26.35,79.28,77.87,78.19,79.91,81.15,82.62,83.29,82.82,81.35,81.98,82.67,80.12,47.9024,47.2871,47.5427,48.6003,49.5495,50.0046,50.1557,50.3606,50.3255,50.3534,50.0611,48.7896
Guam (U.S.),GUM,26.64,26.39,26.52,26.99,27.36,27.54,27.33,27.2,27.24,27.26,27.47,27.24,80.04,80.47,80.04,81.66,82.44,82.74,83.12,83.6,83.36,83.59,83.15,81.94,49.0532,48.9451,48.9332,49.9378,50.5652,50.8442,50.7596,50.788,50.7488,50.8447,50.9095,50.2802
Guatemala,GTM,20.52,21.62,22.89,24.43,24.69,24.01,23.62,23.74,23.55,22.7,21.38,20.65,77.83,73.65,69.38,69.16,74.36,81.45,81.24,81.39,84.01,84.22,82.06,80.5,42.2039,41.9245,41.7854,43.2528,45.2288,46.8885,46.4292,46.5987,47.2733,46.4926,44.4598,43.215
Guernsey (U.K.),GGY,8.68,8.25,8.63,9.73,11.7,13.98,15.85,16.83,16.28,14.67,11.78,9.46,78.52,78.58,79.97,81.34,83.83,85.78,86.83,84.66,80.06,78.49,76.68,77.08,30.5916,30.1814,31.0201,32.5722,35.3639,38.2874,40.5039,40.7678,38.6998,36.5717,33.0844,30.8964
Guinea,GIN,25.32,27.17,28.61,28.8,27.6,25.57,24.4,24.03,24.44,25.11,25.4,24.99,40.97,39.63,46.75,57.33,69.82,80.59,84.32,86.14,84.88,81.84,68.07,49.63,34.8401,36.2479,40.0375,43.7189,46.6406,48.1647,48.2256,48.4562,48.4504,48.1172,43.8631,37.3679
Guinea-Bissau,GNB,25.96,27.61,29.08,29.65,29.89,28.6,26.84,26.3,26.65,27.54,27.39,26.1,40.91,41.27,46.19,51.55,58.59,74.1,83.89,86.51,85.41,83.16,71.47,50.15,35.4603,37.2291,40.3227,42.6615,45.2247,49.053,50.5237,50.8483,50.8353,50.9828,46.9751,38.6495
Guyana,GUY,24.55,24.67,25.17,25.46,25.1,24.72,24.71,25.24,26.02,26.38,25.98,25.13,81.66,79.95,77.8,80.68,85.88,87.87,87.19,85.38,80.91,78.34,80.22,82.38,47.4978,47.0535,46.844,48.0844,49.4404,49.7171,49.4827,49.4154,48.7203,48.2322,48.4526,48.3154
Haiti,HTI,23.33,23.57,23.91,24.62,25.37,26.33,26.72,26.71,26.23,25.6,24.59,23.81,75.3,73.3,73.18,75.1,77.8,77.18,75.31,76.92,79.28,80.97,79.67,77.05,44.179,43.759,44.0594,45.403,47.044,47.7994,47.5723,48.0936,48.3924,48.3201,46.8811,45.2365
Heard Island and McDonald Islands (Aus.),HMD,2.94,3.25,3.28,2.65,1.72,0.96,0.48,0,-0.03,0.41,1.08,2.18,87.38,87.23,85.85,83.92,81.15,80.09,78.55,77.64,78.17,80.97,83.73,86.46,27.7754,28.0359,27.6105,26.3436,24.4995,23.3897,22.4015,21.6212,21.7661,23.1301,24.7109,26.7118
Honduras,HND,21.41,22.31,23.36,24.94,25.07,24.5,24.16,24.31,24.26,23.35,22.13,21.61,79.28,74.81,70.22,68.23,74.84,81.3,81.2,81.32,82.96,85.06,83.77,81.66,43.5724,42.9973,42.5326,43.4559,45.7672,47.329,46.956,47.1456,47.6368,47.4198,45.7741,44.5578
"Hong Kong, SAR",HKG,15.67,16.96,19.5,22.88,25.93,27.81,28.59,28.4,27.51,25.29,21.47,17.04,71.26,77.52,80.56,83.41,83.57,84.48,82.81,83.28,79.05,73.41,70.92,66.77,35.1858,38.5416,42.0848,46.4053,49.5081,51.6884,51.9173,51.8824,49.5965,45.5153,40.8736,35.0741
Hungary,HUN,-0.19,1.55,6.04,12.03,16.9,20.23,21.99,21.4,16.25,11.3,5.95,0.56,84.34,77.42,67.64,62.39,63.83,64.68,63.81,64.39,70.88,76.35,82.66,85.82,23.6422,23.0986,24.3612,28.6187,33.9639,37.5744,39.0473,38.6487,35.6404,32.4955,29.2278,24.8806
Iceland,ISL,-2.39,-3.15,-2.44,-0.04,3.12,7.11,9.15,8.66,5.76,1.34,-1.4,-2.77,83.75,82.65,81.81,81.26,80.13,78.87,81.13,82.73,83.47,84.46,83.84,83.22,21.2475,20.1245,20.5573,22.7758,25.5629,29.1371,31.9229,31.9609,29.3051,25.2118,22.2672,20.6926
India,IND,16.84,19.88,24.19,27.98,29.89,28.82,26.94,26.33,26.07,24.42,20.93,17.62,61.54,55.29,47.91,46.04,50.72,65.17,78.03,80.52,77.3,67.98,63.14,62.72,33.1482,34.1257,36.0003,39.1732,42.6276,46.3261,48.6899,48.9016,47.579,42.8534,37.7662,34.3176
Indonesia,IDN,24.97,25.09,25.24,25.36,25.48,25.09,24.72,24.77,25.05,25.28,25.25,25.08,86.29,85.79,85.85,86.43,85.59,84.92,83.94,82.43,82.32,83.57,85.65,86.66,49.4457,49.4007,49.5705,49.8819,49.7247,49.1136,48.4202,47.9719,48.2156,48.8581,49.5145,49.6778
Iraq,IRQ,9.35,11.8,16.6,22.52,28.77,33.42,35.75,35.5,31.03,24.94,16.23,11.04,67.21,56.68,42.98,35.69,26.38,19.47,19.26,20.31,23.98,33.12,50.84,62.72,27.5293,26.5044,26.7834,30.2977,33.4754,35.8451,38.1058,38.2023,34.9434,31.8696,29.0072,27.7376
Ireland,IRL,5.59,5.81,6.72,8.56,10.97,13.47,15.04,14.99,13.41,10.79,7.76,5.68,86.88,84.62,81.75,79.07,78.53,79.07,81.7,82.41,83.72,85.78,87.36,87.58,30.2604,29.7346,29.6975,30.6531,32.8849,35.5631,38.001,38.1853,37.0376,35.0974,32.5888,30.5814
Iran,IRN,5.23,7.85,12.79,18.54,24.02,28.34,30.17,29.11,25.32,19.67,12.28,7.3,60.03,54.42,45.8,39.94,31.81,26.79,27.79,27.72,28.9,34.97,47.62,56.17,21.0399,21.8086,23.904,27.7202,30.5173,33.1807,35.3407,34.2576,30.857,27.2101,23.9946,21.8361
Isle of Man (U.K.),IMN,7,6.64,6.87,8.19,10.15,12.34,14.2,14.94,14.24,12.41,9.87,7.7,79.97,79.7,80.8,81.67,82.43,85.08,86.13,84.46,81.43,78.99,78.45,78.56,29.3901,28.941,29.534,31.1411,33.3519,36.4164,38.6229,38.8118,37.1119,34.4767,31.7585,29.6248
Israel,ISR,11.93,12.97,15.65,19.18,22.91,25.68,27.61,27.7,25.86,22.65,17.83,13.61,66.43,63.37,57.77,52.38,51,53.49,55.42,58.19,58.84,59.95,59.57,63.75,29.8519,29.8821,30.7141,32.4654,35.74,39.3317,41.8986,42.9027,41.2772,38.4335,33.4881,30.6475
Italy,ITA,4.36,4.99,8.02,11.33,15.91,20.03,22.31,22.22,18.1,14.23,9.29,5.32,78.09,73.93,71.37,71.95,69.63,66.91,64.39,66.6,71.8,77.15,79.17,78.73,26.1297,25.3869,27.5721,31.0735,34.8879,38.1103,39.5587,40.198,37.794,35.6895,31.4161,27.3009
Jamaica,JAM,23.9,24.02,24.3,25.15,25.84,26.62,27.02,27.01,26.64,25.99,25.25,24.45,78.98,76.93,76.18,77.01,80.03,79.47,77.53,79.51,81.95,83.96,82.05,80.54,45.9634,45.4069,45.4394,46.5633,48.2499,48.8451,48.6049,49.2483,49.6835,49.6968,48.3265,47.0282
Japan,JPN,0.28,1.08,4.44,9.87,14.91,18.9,22.72,23.89,20.46,14.77,8.62,2.85,70.24,69.46,67.81,68.14,72.82,79.41,81.53,79.99,77.9,74.44,72.69,71.37,19.4592,20.0018,22.8173,28.3562,34.9406,41.1053,45.6249,46.2867,42.167,35.3352,28.6077,22.4021
Jersey (U.K.),JEY,8.04,7.73,8.39,9.81,12.09,14.53,16.44,17.31,16.47,14.57,11.42,8.8,80.38,80.14,80.63,80.97,82.46,83.76,84.62,82.76,79.15,78.96,78.04,79,30.5654,30.1762,30.9979,32.5301,35.3018,38.1708,40.3646,40.6208,38.5895,36.6268,33.1732,30.87
Jordan,JOR,8.78,10.56,14.17,18.82,23.58,26.82,28.73,28.66,25.89,21.44,14.85,10.26,60.74,54.26,44.96,36.93,32.29,31.8,33.7,36.26,39.04,43.18,51.02,58.45,24.8242,24.4658,25.0068,27.0069,30.2357,33.314,35.851,36.6258,34.7732,31.6894,27.6866,25.5485
Kazakhstan,KAZ,-11.63,-9.54,-1.42,9.18,16.66,22.15,23.71,22.37,15.53,7.51,-1.46,-8.5,77.56,76.95,71.25,55.32,47.78,44.58,46.66,44.38,47.66,60.38,73.4,76.75,9.9648,11.8535,18.0925,23.4356,28.4274,32.8614,35.1078,33.0154,27.2578,23.4354,18.762,12.8275
Kenya,KEN,25.89,26.76,26.88,25.87,25.37,24.48,23.75,23.99,24.93,25.39,24.82,25.2,55.48,51.31,56.9,66.26,64.33,60.57,59.8,58.75,55.78,59.67,68.41,62.73,40.1984,39.6923,41.657,43.7358,42.5989,40.4681,39.484,39.3775,39.3374,41.0811,43.3953,41.9009
Kiribati,KIR,26.36,26.31,26.44,26.71,27,27.04,26.91,26.8,26.83,26.81,26.77,26.57,80.97,82.06,83.34,83.52,81.66,80.15,79.43,78.02,77.64,76.91,76.95,79.48,49.0801,49.3898,49.9422,50.2716,49.9478,49.4895,49.1219,48.5466,48.4512,48.1903,48.1635,48.7984
Kosovo,KSV,0.09,1.56,5.21,9.86,14.88,18.86,21.08,20.93,15.73,10.88,5.6,0.99,80.23,73.99,67.79,66.53,67.69,63.79,58.84,59.1,67.81,74.52,79.45,82.37,22.5659,21.9767,23.5807,27.8149,33.2177,35.9107,36.4972,36.433,34.1073,31.4716,27.8185,24.1721
Kuwait,KWT,12.5,15.04,19.84,25.98,32.51,36.58,38.1,37.86,33.93,28.16,19.67,14.28,63.34,50.95,38.63,31.99,22.06,15.86,16.69,19.47,21.72,31.79,47.33,59.24,29.4022,27.8535,28.5879,32.5367,35.7898,37.8138,39.6077,40.2851,37.0976,34.6507,31.2889,29.8292
Kyrgyzstan,KGZ,-13.08,-10.34,-4.22,1.66,6.25,10.42,12.51,12.21,7.9,0.89,-6.23,-11.54,68.07,69.57,68.47,67.62,70.28,69.37,67.61,65.97,65.83,68.57,69.33,68.55,5.3831,8.6181,14.3751,19.9746,25.4424,29.3121,30.8213,29.9801,25.6239,19.5181,12.6489,7.0815
Lao People's Democratic Republic,LAO,18.79,20.79,23.18,24.87,25.18,25.37,24.84,24.64,24.3,23.46,21.26,18.73,74.12,70.39,70.06,76.38,82.08,84.42,86.91,87.68,86.26,82.13,78.56,76.42,39.2496,40.0187,42.2998,46.0754,48.2664,49.2286,49.5203,49.5744,48.7658,46.5629,43.1848,39.9486
Latvia,LVA,-3.99,-3.95,-0.26,6.41,11.72,15.48,18.28,16.98,12.07,6.8,2.02,-2.2,87.25,84.73,77,68.33,68.38,72.85,74.11,75.97,79.96,85,89.06,88.67,20.8025,20.0109,21.15,24.9589,30.2854,35.5205,38.7363,38.0501,34.4568,30.85,27.4098,23.0611
Lebanon,LBN,6.49,7.22,9.93,13.57,17.98,21.77,24.12,24.16,21.75,17.88,12.54,8.51,75.1,73.15,68.44,64.3,58.97,54.73,55.38,58.9,59.91,61.9,65.54,72.28,27.273,27.3595,28.5152,30.789,33.4401,35.8309,38.3954,39.597,37.5203,34.307,30.1682,28.3624
Lesotho,LSO,16.68,16.33,14.48,10.84,7.18,4.14,3.7,6.56,10.72,13.16,14.52,15.82,68.49,69.31,69.3,66.39,62.18,56.98,54.95,51.51,46.43,56.22,59.59,64.69,35.2817,35.2023,33.349,28.7487,23.6994,18.9434,17.8335,19.5583,22.0419,27.7126,30.1847,33.1677
Liberia,LBR,25.43,26.09,26.08,25.83,25.42,24.57,23.91,23.77,24.16,24.67,24.96,24.98,77.31,78.82,82.83,85.69,86.95,87.39,86.28,87.04,88.12,87.16,86.63,83.44,46.9423,48.1006,49.4139,50.1077,50.1135,49.4087,48.3824,48.4932,49.2396,49.4328,49.5479,48.5152
Libya,LBY,12.16,14.02,18.22,23.2,27.27,29.76,30.45,30.5,28.92,23.66,17.7,13.11,48.41,41.64,33.23,27.49,25.83,26.2,28.73,30.92,32.36,38.95,43.21,48.9,24.1353,23.7612,25.1859,28.2717,31.7939,34.406,35.9309,36.7036,35.5988,32.5135,27.9593,25.247
Liechtenstein,LIE,-3.59,-2.12,1.48,5.44,10.2,13.55,14.86,14.57,11.02,7.62,1.5,-2.84,78.14,75.62,73.21,71.82,73.32,75.69,76.96,79.2,80.59,80.02,80.65,79.88,18.1962,18.8346,21.6393,25.1406,30.3956,34.5277,36.2568,36.706,33.6147,30.0266,24.1145,19.5204
Lithuania,LTU,-3.62,-3.01,0.61,7.31,12.53,15.88,18.52,17.37,12.46,7.25,2.48,-1.98,87.09,84.6,76.41,67.54,68.05,71.99,73.55,74.7,79.01,84.29,89.09,88.66,21.1197,20.908,21.8253,25.5982,30.9865,35.6367,38.7915,38.021,34.5333,31.0657,27.8797,23.2778
Luxembourg,LUX,1.26,2.18,5.2,9.01,12.84,15.84,17.59,17.28,13.65,9.83,5.15,1.8,88.57,84.9,77.23,71.38,73.09,72.43,72.65,74.17,79.79,85.99,90.39,90.4,26.4881,26.197,26.6859,28.5654,32.9597,35.7419,37.5645,37.7561,35.9807,34.2067,30.9787,27.632
"Macau, SAR",MAC,15.76,17.12,19.77,23.2,26.24,28.1,28.78,28.64,27.65,25.42,21.53,17.13,73.01,79.08,81.74,84.43,83.9,84.2,82.6,82.81,79.36,74.44,72.31,68.34,35.8533,39.2164,42.7442,47.0619,49.927,51.886,52.038,51.9673,49.8388,45.9852,41.3923,35.6822
Madagascar,MDG,24.49,24.5,24.42,23.5,21.76,19.81,19.14,19.98,21.58,23.24,24.42,24.63,80.96,81.06,78.99,74.8,72.03,69.17,67.61,65.06,63.12,64.58,69.03,76.8,47.2068,47.2498,46.4867,44.184,41.5299,38.6361,37.4513,37.4498,38.4096,40.5514,43.1999,45.974
Malawi,MWI,23.19,23.01,22.85,21.88,20.48,18.74,18.02,19.83,22.45,24.46,25.22,23.83,82.32,82.38,81.71,76.87,70.52,68.03,66.73,61.5,55.83,55.42,61.23,76.21,46.3556,46.1954,45.8143,43.2471,39.7516,37.1899,36.0409,36.125,36.8739,38.7486,41.4259,44.9793
Malaysia,MYS,24.78,25.15,25.59,25.94,26.15,25.9,25.66,25.6,25.52,25.34,25.16,24.9,85.24,83.45,83.38,84.41,84.56,84.15,83.8,83.83,84.44,85.84,86.97,86.88,48.9092,48.6885,49.1054,49.7953,50.0548,49.6695,49.314,49.2639,49.3852,49.6672,49.8601,49.5704
Maldives,MDV,26.81,27.14,27.71,27.93,27.79,27.57,27.26,27.15,27,26.9,26.8,26.67,77.69,76.38,76.21,78.73,81.14,81.16,80.66,80.58,81.14,81.44,80.79,79.84,48.4477,48.3454,48.8593,49.9109,50.5662,50.3528,49.8778,49.7414,49.7762,49.7752,49.4607,49.0172
Mali,MLI,20.85,23.7,27.81,31.45,33.62,33.96,32.66,31.44,31.42,29.97,25.72,21.83,23.3,19.02,16.87,18.62,23.59,32.01,43.14,51.07,45.03,33.8,25.33,25.21,24.539,25.9766,29.3771,33.5946,37.4047,40.5233,42.8962,44.2931,42.2799,37.124,30.0789,26.1493
Malta,MLT,14.21,13.56,14.33,15.87,18.75,22.36,25.09,26.01,24.37,22.07,18.88,15.83,71.62,72.01,75.96,79.16,81.26,81.15,79.26,78.78,75.26,74.43,71.73,69.97,33.8446,33.3233,35.3968,37.9928,41.5658,45.1395,47.2458,48.0074,45.2058,42.6319,38.5509,34.9201
Marshall Islands,MHL,26.75,26.65,26.79,26.93,27.13,27.11,27,27,27.08,27.08,27.08,27.05,80.25,80.34,80.87,82.19,82.56,82.99,83.14,82.8,82.55,82.6,82.8,81.7,49.2325,49.1622,49.4771,50.0527,50.3748,50.4967,50.4362,50.324,50.3215,50.338,50.404,50.011
Mauritania,MRT,18.68,21.38,25.06,28.23,31.05,33.39,33.84,33.14,32.12,29.52,24.29,19.99,29.78,25.35,22.58,21.85,22.31,24.35,31.16,38.98,36.65,29.84,28.71,31.64,24.5074,25.7455,28.5114,31.4405,34.4123,37.4255,40.1228,42.0034,40.2145,35.3672,29.7643,26.4312
Mauritius,MUS,25.95,26.17,25.83,25.09,23.62,22.16,21.28,21.11,21.55,22.47,23.92,25.3,81.27,82.33,81.5,80.44,77.51,74.22,74.87,73.77,74.3,74.14,75.7,78,48.7691,49.3389,48.725,47.6352,45.1983,42.6526,41.9871,41.4541,42.069,42.9362,44.901,47.04
Mexico,MEX,15.23,16.8,19.1,21.81,24.15,25.18,24.75,24.62,23.55,21.32,17.98,15.3,57.72,54.2,48.81,46.45,49.27,58.52,66.01,67.74,70.02,64.44,61.29,59.73,30.2776,30.686,31.2073,33.1385,36.4091,40.4916,42.5333,42.9742,42.6566,38.5852,34.2057,31.0109
Moldova,MDA,-2.34,-0.63,4.15,10.82,16.9,20.48,22.62,21.69,15.96,10.23,4.97,-1,84.86,79.91,70.3,63.94,61.19,62.61,62.76,61.96,68.04,75.26,83.02,85.21,21.6638,21.7403,23.349,27.9202,33.0927,37.1413,39.3308,38.1368,34.4132,31.0658,28.3666,23.1193
Monaco,MCO,8.22,8.16,10.01,12.25,15.91,19.59,21.91,22.28,19.24,16.15,12.05,9.18,71.49,70.63,72.33,76.34,78.67,80.12,78.47,77.8,74.61,75.71,71.44,69.8,27.8117,27.4679,29.8789,33.4422,37.8711,42.0296,43.8051,43.954,39.8613,37.1343,31.6252,28.214
Mongolia,MNG,-19.34,-14.49,-6.08,3.91,11.33,17.46,19.88,17.57,10.79,1.69,-9.08,-16.87,64.87,59.35,49.95,41.52,39.82,45.38,51.54,51.68,48.35,51.68,59.85,64.3,-1.9329,1.0955,6.4035,13.6116,20.4706,28.4354,32.8882,30.6244,22.7455,14.7444,6.6705,0.349
Montenegro,MNE,0.18,0.96,4,8.21,13.32,17.15,19.29,19.29,14.52,10.47,5.73,1.33,79.54,76.03,72.38,72.12,72.38,71.03,67.38,67.19,73.7,76.87,79.57,80.89,22.4282,22.0499,23.8854,28.0096,33.2054,36.5899,37.5254,37.4627,34.841,31.8371,27.9881,24.0237
Montserrat (U.K.),MSR,25.14,24.86,24.96,25.53,26.35,26.93,27.05,27.31,27.38,27.11,26.58,25.78,77.48,76.13,76.05,78.25,80.18,80.55,81.49,81.74,81.34,81.21,79.7,78.1,46.7084,45.9829,46.0565,47.3525,48.8094,49.5115,49.9417,50.2842,50.2222,49.9093,48.881,47.553
Morocco,MAR,10.16,11.72,14.76,17.06,20.27,24.39,27.59,27.3,23.44,19.79,14.45,10.99,59.71,56.97,52.33,51.3,47.97,44.15,39.33,41.7,50.32,53.68,58.19,62.83,25.8643,26.5201,28.0289,29.989,32.1001,34.9595,36.5689,37.061,36.0456,33.5044,29.6527,27.7239
Mozambique,MOZ,25.69,25.47,25.15,23.77,22.11,20.44,19.85,21.51,23.76,25.53,26.67,26.08,79.06,79.19,78.43,73.8,68.54,66.59,65.28,60.89,57.57,57.88,61.89,73.15,47.7798,47.6027,47.0319,44.124,40.7282,38.4147,37.3924,37.6037,38.7581,40.6304,43.0937,46.2195
Myanmar,MMR,18.61,20.9,24.09,26.5,26.14,25.66,25.36,25.23,24.99,24.23,21.84,19.09,68.07,59.91,56.33,60.86,76.36,84.92,86.73,87.48,87.13,84.71,79.06,74.06,37.0731,36.6703,38.6789,42.5838,47.3388,49.6836,49.9809,50.0984,49.7429,48.1843,43.9298,39.5298
Namibia,NAM,24.58,24.38,23.68,21.79,18.81,15.81,15.47,17.55,21.09,23.68,24.2,24.66,50.79,54.92,54.18,47.22,39.4,37.2,35.25,30.79,28.38,30.58,37.01,43.24,37.3407,38.5036,37.5594,33.3726,27.812,24.086,23.1025,23.7107,26.4554,29.7714,32.4133,34.9292
Nauru,NRU,27.22,27.14,27.12,27.13,27.39,27.39,27.14,27.25,27.27,27.42,27.46,27.33,80.45,80.9,81.92,82.74,81.19,80.72,80.96,79.85,79.71,78.37,78.05,80.86,49.7685,49.837,50.1536,50.4342,50.1827,50.0276,49.8568,49.6005,49.5743,49.2821,49.2165,50.0138
Nepal,NPL,3.27,5.54,9.6,13.77,16.61,18.72,19.11,18.92,17.57,13.54,9.25,5.63,66.57,64.73,60.04,59.53,69,79.58,87.35,87.03,83.9,75.07,69.11,66.74,21.2381,22.9009,25.4132,29.4149,35.38,40.9814,43.9355,43.6399,41.257,34.3131,28.0563,23.6542
Netherlands,NLD,3.22,3.91,6.03,9.64,13.13,15.81,17.94,17.83,14.94,11.26,7.1,3.62,86.66,84.15,79.56,73.73,73.66,74.87,76.53,77.5,81.07,84.06,87.75,87.94,27.8178,27.6795,28.2848,29.9709,33.4378,36.5171,39.1949,39.405,37.6931,34.9998,32.0575,28.6402
New Caledonia (Fr.),NCL,25.23,25.55,25.02,23.72,21.9,20.59,19.42,19.37,20.52,21.9,23.12,24.58,79.12,80.54,82.2,80.91,78.79,78.14,75.52,75.05,74.88,73.73,73.42,76.68,47.3396,48.1282,48.146,46.4203,43.9007,42.3762,40.3416,40.1365,41.2304,42.2309,43.3486,45.8844
New Zealand,NZL,14.84,15.13,13.43,11.07,8.66,6.1,5.28,6.19,8.08,9.51,11.12,13.56,76.29,77.43,78.19,81.3,83.77,84.72,84.17,82.87,80.14,78.69,76.57,77.27,36.0157,36.6819,35.2327,33.899,32.3041,30.0576,29.0561,29.5371,30.5262,31.4777,32.3881,35.0591
Nicaragua,NIC,23.93,24.45,25.35,26.58,26.48,25.72,25.47,25.58,25.47,25.04,24.46,24.17,78.97,75.77,71.16,70.04,77.33,84.51,84.49,84.67,86.08,86.63,83.52,80.58,45.9901,45.4541,44.8328,45.6932,47.9989,49.6083,49.3517,49.5211,49.8764,49.6279,48.0216,46.7614
Niger,NER,18.59,21.66,26,30.84,33.12,33.37,32.17,31.3,31.23,28.78,23.6,19.48,23.65,18.75,14.67,15.28,19.51,25.79,35.39,43.17,33.91,25.18,22.74,24.56,22.3945,23.8475,26.8411,31.8824,35.5583,37.8807,39.8487,41.5461,38.4203,33.0894,27.1042,23.5848
